customer_id,Recency,Frequency,Monetary,r_quartile,f_quartile,m_quartile,RFM_score,segment
94,34,7,8305.77,3,3,4,334,Loyal
95,39,4,5049.799999999999,3,1,2,312,Regular
96,71,3,2783.33,2,1,1,211,Regular
97,103,8,8895.95,1,4,4,144,Big Spender
98,123,5,6180.05,1,2,3,123,At Risk
99,3,9,8279.06,4,4,4,444,Champion
100,12,2,2748.2,4,1,1,411,Regular
101,9,4,4309.82,4,1,2,412,Regular
102,43,7,6659.22,3,3,3,333,Loyal
103,50,5,4909.84,2,2,2,222,Regular
104,65,8,7306.93,2,4,3,243,Regular
105,90,4,6234.35,1,1,3,113,At Risk
106,2,3,2906.16,4,1,1,411,Regular
107,82,4,3345.1000000000004,2,1,1,211,Regular
108,11,3,3556.66,4,1,1,411,Regular
109,9,10,10661.51,4,4,4,444,Champion
110,15,7,7788.71,4,3,3,433,Loyal
111,148,4,4873.0599999999995,1,1,2,112,At Risk
112,48,6,9059.89,2,2,4,224,Big Spender
113,176,6,5412.969999999999,1,2,2,122,At Risk
114,71,4,3233.0,2,1,1,211,Regular
115,15,8,8398.18,4,4,4,444,Champion
116,13,8,5663.92,4,4,2,442,Loyal
117,6,10,12856.83,4,4,4,444,Champion
118,70,5,5319.51,2,2,2,222,Regular
119,31,4,5217.66,3,1,2,312,Regular
120,130,3,3118.34,1,1,1,111,At Risk
121,112,4,4327.44,1,1,2,112,At Risk
122,9,5,6533.389999999999,4,2,3,423,Potential Loyalist
123,192,4,5337.79,1,1,2,112,At Risk
124,3,7,8272.15,4,3,4,434,Loyal
125,84,10,7107.32,2,4,3,243,Regular
126,12,3,3448.12,4,1,1,411,Regular
127,24,10,9949.62,3,4,4,344,Loyal
128,138,4,3679.75,1,1,1,111,At Risk
129,179,4,4090.48,1,1,1,111,At Risk
130,77,2,3340.42,2,1,1,211,Regular
131,206,6,8745.28,1,2,4,124,Big Spender
132,8,6,7365.93,4,2,3,423,Potential Loyalist
133,27,5,3164.55,3,2,1,321,Potential Loyalist
134,15,6,7170.95,4,2,3,423,Potential Loyalist
135,116,7,6860.46,1,3,3,133,At Risk
136,21,8,9406.85,3,4,4,344,Loyal
137,28,5,3507.0499999999997,3,2,1,321,Potential Loyalist
138,65,7,4927.35,2,3,2,232,Regular
139,27,9,10638.89,3,4,4,344,Loyal
140,4,6,7649.34,4,2,3,423,Potential Loyalist
141,160,3,4053.9800000000005,1,1,1,111,At Risk
142,5,11,12474.74,4,4,4,444,Champion
143,14,4,4689.21,4,1,2,412,Regular
144,7,8,8961.14,4,4,4,444,Champion
145,29,7,8149.19,3,3,4,334,Loyal
146,195,2,1973.29,1,1,1,111,At Risk
147,35,6,8079.09,3,2,3,323,Potential Loyalist
148,44,5,5808.83,3,2,2,322,Potential Loyalist
149,19,6,7091.73,3,2,3,323,Potential Loyalist
150,76,4,3630.96,2,1,1,211,Regular
151,1,7,11422.85,4,3,4,434,Loyal
152,159,2,2941.37,1,1,1,111,At Risk
153,65,7,7808.16,2,3,3,233,Regular
154,24,5,3521.5299999999997,3,2,1,321,Potential Loyalist
155,9,3,4008.51,4,1,1,411,Regular
156,17,5,4831.58,4,2,2,422,Potential Loyalist
157,136,4,2541.39,1,1,1,111,At Risk
158,66,6,7221.05,2,2,3,223,Regular
159,67,6,6016.32,2,2,3,223,Regular
160,94,2,3024.58,1,1,1,111,At Risk
161,160,1,1148.64,1,1,1,111,At Risk
162,99,3,3317.47,1,1,1,111,At Risk
163,115,2,3089.24,1,1,1,111,At Risk
164,199,3,2583.85,1,1,1,111,At Risk
165,9,9,9893.75,4,4,4,444,Champion
166,64,8,9737.72,2,4,4,244,Big Spender
167,15,9,9888.61,4,4,4,444,Champion
168,137,8,8563.42,1,4,4,144,Big Spender
169,62,3,2065.08,2,1,1,211,Regular
170,101,4,4254.31,1,1,2,112,At Risk
171,19,8,9347.85,3,4,4,344,Loyal
172,12,7,9250.22,4,3,4,434,Loyal
173,16,9,14061.48,4,4,4,444,Champion
174,12,10,12893.57,4,4,4,444,Champion
175,65,5,6008.03,2,2,3,223,Regular
176,23,5,6733.15,3,2,3,323,Potential Loyalist
177,38,12,11826.34,3,4,4,344,Loyal
178,33,4,3504.09,3,1,1,311,Regular
179,41,3,3168.84,3,1,1,311,Regular
180,12,7,7970.57,4,3,3,433,Loyal
181,51,5,4262.27,2,2,2,222,Regular
182,14,7,9279.01,4,3,4,434,Loyal
183,103,6,5947.98,1,2,2,122,At Risk
184,33,3,3734.88,3,1,1,311,Regular
185,9,7,9254.279999999999,4,3,4,434,Loyal
186,24,6,5550.85,3,2,2,322,Potential Loyalist
187,15,7,6898.79,4,3,3,433,Loyal
188,16,6,5126.07,4,2,2,422,Potential Loyalist
189,4,5,8633.69,4,2,4,424,Potential Loyalist
190,30,4,3083.07,3,1,1,311,Regular
191,106,1,1065.03,1,1,1,111,At Risk
192,80,4,3836.29,2,1,1,211,Regular
193,25,5,7368.36,3,2,3,323,Potential Loyalist
194,109,3,4313.530000000001,1,1,2,112,At Risk
195,1,7,12479.46,4,3,4,434,Loyal
196,147,8,6346.61,1,4,3,143,At Risk
197,28,9,8456.02,3,4,4,344,Loyal
198,59,9,11648.85,2,4,4,244,Big Spender
199,16,4,4323.860000000001,4,1,2,412,Regular
200,8,9,11117.36,4,4,4,444,Champion
201,29,8,9167.380000000001,3,4,4,344,Loyal
202,19,3,2511.82,3,1,1,311,Regular
203,12,5,4376.26,4,2,2,422,Potential Loyalist
204,28,8,11444.0,3,4,4,344,Loyal
205,53,9,6904.88,2,4,3,243,Regular
206,78,4,5633.8099999999995,2,1,2,212,Regular
207,280,3,4448.26,1,1,2,112,At Risk
208,28,5,5158.98,3,2,2,322,Potential Loyalist
209,108,5,6093.4800000000005,1,2,3,123,At Risk
210,23,6,8805.2,3,2,4,324,Potential Loyalist
211,40,9,10073.76,3,4,4,344,Loyal
212,188,2,2429.8,1,1,1,111,At Risk
213,29,11,13555.56,3,4,4,344,Loyal
214,57,6,6834.46,2,2,3,223,Regular
215,4,8,8485.16,4,4,4,444,Champion
216,17,4,4801.610000000001,4,1,2,412,Regular
217,5,8,11465.25,4,4,4,444,Champion
218,15,4,3125.6,4,1,1,411,Regular
219,41,6,6156.27,3,2,3,323,Potential Loyalist
220,16,6,7458.69,4,2,3,423,Potential Loyalist
221,19,6,6729.84,3,2,3,323,Potential Loyalist
222,21,2,2626.81,3,1,1,311,Regular
223,53,7,9805.5,2,3,4,234,Big Spender
224,2,6,6209.46,4,2,3,423,Potential Loyalist
225,38,3,2416.13,3,1,1,311,Regular
226,117,2,1639.95,1,1,1,111,At Risk
227,27,5,5589.13,3,2,2,322,Potential Loyalist
228,78,5,5178.17,2,2,2,222,Regular
229,61,5,4473.07,2,2,2,222,Regular
230,37,11,11755.6,3,4,4,344,Loyal
231,46,4,5338.64,2,1,2,212,Regular
232,142,6,4132.44,1,2,1,121,At Risk
233,18,6,5218.62,4,2,2,422,Potential Loyalist
234,12,9,11070.19,4,4,4,444,Champion
235,3,11,9629.61,4,4,4,444,Champion
236,7,4,5255.34,4,1,2,412,Regular
237,27,8,7156.79,3,4,3,343,Loyal
238,108,5,5838.6,1,2,2,122,At Risk
239,2,9,12986.130000000001,4,4,4,444,Champion
240,89,6,5689.53,1,2,2,122,At Risk
241,48,4,3855.87,2,1,1,211,Regular
242,132,7,7798.25,1,3,3,133,At Risk
243,75,5,6741.57,2,2,3,223,Regular
244,195,3,4356.25,1,1,2,112,At Risk
245,13,5,4855.26,4,2,2,422,Potential Loyalist
246,28,9,9724.98,3,4,4,344,Loyal
247,113,7,9778.37,1,3,4,134,Big Spender
248,135,7,8902.16,1,3,4,134,Big Spender
249,48,9,6569.14,2,4,3,243,Regular
250,32,7,9866.27,3,3,4,334,Loyal
251,39,4,3425.0,3,1,1,311,Regular
252,63,5,5565.48,2,2,2,222,Regular
253,18,5,2932.39,4,2,1,421,Potential Loyalist
254,42,7,9801.07,3,3,4,334,Loyal
255,58,11,14027.76,2,4,4,244,Big Spender
256,1,5,5861.16,4,2,2,422,Potential Loyalist
257,93,5,7616.05,1,2,3,123,At Risk
258,19,5,4816.4,3,2,2,322,Potential Loyalist
259,28,4,5329.9400000000005,3,1,2,312,Regular
260,9,9,8587.0,4,4,4,444,Champion
261,51,9,9137.67,2,4,4,244,Big Spender
262,11,5,4597.37,4,2,2,422,Potential Loyalist
263,47,7,7902.84,2,3,3,233,Regular
264,49,4,2339.8599999999997,2,1,1,211,Regular
265,80,4,4809.14,2,1,2,212,Regular
266,33,4,4191.43,3,1,2,312,Regular
267,131,4,5029.25,1,1,2,112,At Risk
268,70,4,5104.56,2,1,2,212,Regular
269,169,5,5215.37,1,2,2,122,At Risk
270,8,7,7413.610000000001,4,3,3,433,Loyal
271,203,2,2293.0200000000004,1,1,1,111,At Risk
272,92,7,7345.17,1,3,3,133,At Risk
273,29,10,11372.24,3,4,4,344,Loyal
274,150,4,2597.6800000000003,1,1,1,111,At Risk
275,133,7,8902.17,1,3,4,134,Big Spender
276,4,6,6112.08,4,2,3,423,Potential Loyalist
277,22,4,4539.22,3,1,2,312,Regular
278,249,1,1228.07,1,1,1,111,At Risk
279,15,6,3817.17,4,2,1,421,Potential Loyalist
280,44,11,12587.58,3,4,4,344,Loyal
281,10,4,3537.46,4,1,1,411,Regular
282,70,2,2565.84,2,1,1,211,Regular
283,92,6,8380.59,1,2,4,124,Big Spender
284,134,5,5874.839999999999,1,2,2,122,At Risk
285,8,6,6725.29,4,2,3,423,Potential Loyalist
286,138,4,6402.0599999999995,1,1,3,113,At Risk
287,139,1,2083.94,1,1,1,111,At Risk
288,45,4,3936.5699999999997,3,1,1,311,Regular
289,45,9,9320.12,3,4,4,344,Loyal
290,12,5,5912.93,4,2,2,422,Potential Loyalist
291,41,2,983.55,3,1,1,311,Regular
292,59,7,8825.97,2,3,4,234,Big Spender
293,11,5,5175.56,4,2,2,422,Potential Loyalist
294,116,7,8719.14,1,3,4,134,Big Spender
295,35,7,5956.46,3,3,2,332,Loyal
296,9,3,4016.36,4,1,1,411,Regular
297,9,4,5674.71,4,1,2,412,Regular
298,9,10,11393.82,4,4,4,444,Champion
299,93,7,10296.12,1,3,4,134,Big Spender
300,157,5,7003.74,1,2,3,123,At Risk
301,94,2,361.78,1,1,1,111,At Risk
302,277,2,2024.93,1,1,1,111,At Risk
303,44,3,3874.1800000000003,3,1,1,311,Regular
304,81,9,7284.7,2,4,3,243,Regular
305,34,7,6385.26,3,3,3,333,Loyal
306,124,2,1362.46,1,1,1,111,At Risk
307,16,9,9818.0,4,4,4,444,Champion
308,26,6,7432.02,3,2,3,323,Potential Loyalist
309,10,4,5475.93,4,1,2,412,Regular
310,9,7,9065.04,4,3,4,434,Loyal
311,62,6,7559.06,2,2,3,223,Regular
312,14,6,7564.12,4,2,3,423,Potential Loyalist
313,18,6,8979.0,4,2,4,424,Potential Loyalist
314,21,8,6264.7300000000005,3,4,3,343,Loyal
315,28,9,7677.51,3,4,3,343,Loyal
316,12,4,3813.84,4,1,1,411,Regular
317,52,5,6692.47,2,2,3,223,Regular
318,10,7,9276.07,4,3,4,434,Loyal
319,72,5,7051.54,2,2,3,223,Regular
320,13,10,11721.06,4,4,4,444,Champion
321,13,5,5405.99,4,2,2,422,Potential Loyalist
322,2,12,14782.23,4,4,4,444,Champion
323,36,6,4992.110000000001,3,2,2,322,Potential Loyalist
324,22,5,2711.14,3,2,1,321,Potential Loyalist
325,134,6,7543.92,1,2,3,123,At Risk
326,162,3,3419.08,1,1,1,111,At Risk
327,17,5,6108.21,4,2,3,423,Potential Loyalist
328,5,8,5739.53,4,4,2,442,Loyal
329,35,6,5425.24,3,2,2,322,Potential Loyalist
330,108,6,8513.2,1,2,4,124,Big Spender
331,83,6,7052.26,2,2,3,223,Regular
332,264,2,1362.46,1,1,1,111,At Risk
333,23,7,6422.91,3,3,3,333,Loyal
334,57,6,6125.9,2,2,3,223,Regular
335,25,2,2234.34,3,1,1,311,Regular
336,83,5,3711.9500000000003,2,2,1,221,Regular
337,38,6,5855.57,3,2,2,322,Potential Loyalist
338,11,7,8578.51,4,3,4,434,Loyal
339,59,5,6459.18,2,2,3,223,Regular
340,31,8,8079.91,3,4,3,343,Loyal
341,135,2,3532.9399999999996,1,1,1,111,At Risk
342,94,4,2455.7599999999998,1,1,1,111,At Risk
343,104,9,10378.0,1,4,4,144,Big Spender
344,9,9,11386.87,4,4,4,444,Champion
345,20,7,7446.139999999999,3,3,3,333,Loyal
346,13,9,8874.36,4,4,4,444,Champion
347,60,7,12360.26,2,3,4,234,Big Spender
348,126,6,5562.58,1,2,2,122,At Risk
349,167,5,4619.93,1,2,2,122,At Risk
350,5,6,4728.13,4,2,2,422,Potential Loyalist
351,12,2,2832.11,4,1,1,411,Regular
352,26,6,8533.27,3,2,4,324,Potential Loyalist
353,24,11,13721.09,3,4,4,344,Loyal
354,68,6,5392.11,2,2,2,222,Regular
355,46,5,4674.02,2,2,2,222,Regular
356,62,5,5765.9,2,2,2,222,Regular
357,16,8,8779.220000000001,4,4,4,444,Champion
358,71,2,2129.82,2,1,1,211,Regular
359,9,10,8564.63,4,4,4,444,Champion
360,9,5,6069.39,4,2,3,423,Potential Loyalist
361,147,7,6592.67,1,3,3,133,At Risk
362,1,5,3486.48,4,2,1,421,Potential Loyalist
363,15,6,11621.14,4,2,4,424,Potential Loyalist
364,12,6,6791.39,4,2,3,423,Potential Loyalist
365,51,7,8188.29,2,3,4,234,Big Spender
366,116,6,5867.110000000001,1,2,2,122,At Risk
367,44,6,7014.01,3,2,3,323,Potential Loyalist
368,14,9,9300.06,4,4,4,444,Champion
369,102,8,9536.35,1,4,4,144,Big Spender
370,112,7,7633.95,1,3,3,133,At Risk
371,10,5,6859.8,4,2,3,423,Potential Loyalist
372,32,8,6870.42,3,4,3,343,Loyal
373,224,1,1466.68,1,1,1,111,At Risk
374,14,6,7756.64,4,2,3,423,Potential Loyalist
375,92,4,3460.33,1,1,1,111,At Risk
376,44,3,1981.8899999999999,3,1,1,311,Regular
377,7,12,10730.42,4,4,4,444,Champion
378,125,7,5827.91,1,3,2,132,At Risk
379,146,2,2849.83,1,1,1,111,At Risk
380,36,8,10261.59,3,4,4,344,Loyal
381,3,8,8019.8,4,4,3,443,Champion
382,36,7,6536.92,3,3,3,333,Loyal
383,52,3,3922.8999999999996,2,1,1,211,Regular
384,86,5,5068.24,2,2,2,222,Regular
385,79,9,10758.23,2,4,4,244,Big Spender
386,67,5,5445.4400000000005,2,2,2,222,Regular
387,32,3,5303.1,3,1,2,312,Regular
388,56,3,2857.55,2,1,1,211,Regular
389,114,6,3948.4300000000003,1,2,1,121,At Risk
390,77,6,4490.52,2,2,2,222,Regular
391,57,4,3132.87,2,1,1,211,Regular
392,102,7,8157.6,1,3,4,134,Big Spender
393,147,2,2728.3599999999997,1,1,1,111,At Risk
394,46,8,7818.74,2,4,3,243,Regular
395,31,7,7802.49,3,3,3,333,Loyal
396,30,6,6560.6900000000005,3,2,3,323,Potential Loyalist
397,46,5,3791.1,2,2,1,221,Regular
398,13,7,4446.48,4,3,2,432,Loyal
399,50,6,7848.56,2,2,3,223,Regular
400,135,5,4266.01,1,2,2,122,At Risk
401,30,7,7478.68,3,3,3,333,Loyal
402,57,6,8148.22,2,2,4,224,Big Spender
403,57,6,6122.63,2,2,3,223,Regular
404,19,9,9330.26,3,4,4,344,Loyal
405,15,6,7468.88,4,2,3,423,Potential Loyalist
406,107,6,5892.509999999999,1,2,2,122,At Risk
407,10,9,7837.83,4,4,3,443,Champion
408,18,5,5252.97,4,2,2,422,Potential Loyalist
409,14,4,3610.11,4,1,1,411,Regular
410,7,7,5472.9,4,3,2,432,Loyal
411,188,5,5130.24,1,2,2,122,At Risk
412,28,3,3041.12,3,1,1,311,Regular
413,168,5,5306.63,1,2,2,122,At Risk
414,48,6,4770.45,2,2,2,222,Regular
415,249,2,3670.0,1,1,1,111,At Risk
416,89,5,4670.05,1,2,2,122,At Risk
417,71,7,8689.25,2,3,4,234,Big Spender
418,29,6,6298.139999999999,3,2,3,323,Potential Loyalist
419,15,7,7917.43,4,3,3,433,Loyal
420,60,10,11080.54,2,4,4,244,Big Spender
421,57,6,7222.93,2,2,3,223,Regular
422,134,4,5465.0,1,1,2,112,At Risk
423,142,5,5058.62,1,2,2,122,At Risk
424,75,7,9036.62,2,3,4,234,Big Spender
425,26,7,10925.23,3,3,4,334,Loyal
426,60,9,10506.86,2,4,4,244,Big Spender
427,110,4,4678.55,1,1,2,112,At Risk
428,52,8,9009.45,2,4,4,244,Big Spender
429,19,8,8631.57,3,4,4,344,Loyal
430,66,6,7494.51,2,2,3,223,Regular
431,139,1,1289.85,1,1,1,111,At Risk
432,22,8,9237.06,3,4,4,344,Loyal
433,16,9,10236.83,4,4,4,444,Champion
434,298,2,1945.46,1,1,1,111,At Risk
435,103,4,5669.1,1,1,2,112,At Risk
436,51,3,3374.59,2,1,1,211,Regular
437,49,6,5595.76,2,2,2,222,Regular
438,52,8,12777.29,2,4,4,244,Big Spender
439,100,6,6584.91,1,2,3,123,At Risk
440,12,8,7773.05,4,4,3,443,Champion
441,63,3,2910.7200000000003,2,1,1,211,Regular
442,14,7,5714.68,4,3,2,432,Loyal
443,206,6,6781.389999999999,1,2,3,123,At Risk
444,46,7,7147.11,2,3,3,233,Regular
445,25,11,14593.220000000001,3,4,4,344,Loyal
446,53,8,10683.11,2,4,4,244,Big Spender
447,1,6,6502.92,4,2,3,423,Potential Loyalist
448,189,4,4424.38,1,1,2,112,At Risk
449,134,6,6240.950000000001,1,2,3,123,At Risk
450,83,4,5369.55,2,1,2,212,Regular
451,67,6,5925.52,2,2,2,222,Regular
452,25,5,3872.4300000000003,3,2,1,321,Potential Loyalist
453,42,8,6220.21,3,4,3,343,Loyal
454,50,7,9662.82,2,3,4,234,Big Spender
455,68,3,4076.17,2,1,1,211,Regular
456,89,5,6261.639999999999,1,2,3,123,At Risk
457,116,5,6553.5199999999995,1,2,3,123,At Risk
458,27,5,3615.63,3,2,1,321,Potential Loyalist
459,39,5,6449.13,3,2,3,323,Potential Loyalist
460,18,4,5012.97,4,1,2,412,Regular
461,21,8,10366.86,3,4,4,344,Loyal
462,143,6,7830.79,1,2,3,123,At Risk
463,60,7,7679.47,2,3,3,233,Regular
464,10,6,8289.86,4,2,4,424,Potential Loyalist
465,5,6,4766.91,4,2,2,422,Potential Loyalist
466,41,7,6597.52,3,3,3,333,Loyal
467,170,6,7065.389999999999,1,2,3,123,At Risk
468,95,6,7264.86,1,2,3,123,At Risk
469,102,10,7566.66,1,4,3,143,At Risk
470,10,7,7158.48,4,3,3,433,Loyal
471,49,6,6243.62,2,2,3,223,Regular
472,50,5,5989.66,2,2,2,222,Regular
473,116,9,12033.62,1,4,4,144,Big Spender
474,98,2,2107.8199999999997,1,1,1,111,At Risk
475,25,7,5131.25,3,3,2,332,Loyal
476,10,4,4416.9,4,1,2,412,Regular
477,36,5,5899.43,3,2,2,322,Potential Loyalist
478,4,9,8880.93,4,4,4,444,Champion
479,77,9,8781.24,2,4,4,244,Big Spender
480,18,2,3179.31,4,1,1,411,Regular
481,15,2,2156.44,4,1,1,411,Regular
482,76,10,11870.130000000001,2,4,4,244,Big Spender
483,41,7,8372.11,3,3,4,334,Loyal
484,20,5,5694.35,3,2,2,322,Potential Loyalist
485,15,6,5662.3099999999995,4,2,2,422,Potential Loyalist
486,92,5,7323.58,1,2,3,123,At Risk
487,140,2,1875.15,1,1,1,111,At Risk
488,28,7,4859.099999999999,3,3,2,332,Loyal
489,125,5,5450.6900000000005,1,2,2,122,At Risk
490,54,9,9886.75,2,4,4,244,Big Spender
491,69,7,6140.67,2,3,3,233,Regular
492,90,4,5248.15,1,1,2,112,At Risk
493,76,3,607.78,2,1,1,211,Regular
494,134,3,2524.5299999999997,1,1,1,111,At Risk
495,129,6,6120.139999999999,1,2,3,123,At Risk
496,46,4,3612.19,2,1,1,211,Regular
497,60,4,2772.15,2,1,1,211,Regular
498,8,7,9834.95,4,3,4,434,Loyal
499,56,11,8960.43,2,4,4,244,Big Spender
500,25,8,9381.92,3,4,4,344,Loyal
501,129,4,3118.51,1,1,1,111,At Risk
502,132,5,4852.31,1,2,2,122,At Risk
503,84,3,2643.58,2,1,1,211,Regular
504,137,8,7145.67,1,4,3,143,At Risk
505,15,5,6456.41,4,2,3,423,Potential Loyalist
506,57,10,14208.25,2,4,4,244,Big Spender
507,37,7,7567.66,3,3,3,333,Loyal
508,156,6,7648.2,1,2,3,123,At Risk
509,90,6,6017.45,1,2,3,123,At Risk
510,60,2,3333.38,2,1,1,211,Regular
511,12,5,4598.69,4,2,2,422,Potential Loyalist
512,96,4,4233.95,1,1,2,112,At Risk
513,15,5,5958.04,4,2,2,422,Potential Loyalist
514,124,5,7401.06,1,2,3,123,At Risk
515,15,9,12264.8,4,4,4,444,Champion
516,20,10,9021.7,3,4,4,344,Loyal
517,11,6,5083.11,4,2,2,422,Potential Loyalist
518,262,3,3288.99,1,1,1,111,At Risk
519,56,4,4470.85,2,1,2,212,Regular
520,17,5,2566.04,4,2,1,421,Potential Loyalist
521,155,2,1849.5700000000002,1,1,1,111,At Risk
522,42,4,3520.19,3,1,1,311,Regular
523,19,6,6485.21,3,2,3,323,Potential Loyalist
524,139,7,6400.86,1,3,3,133,At Risk
525,120,8,10372.68,1,4,4,144,Big Spender
526,155,3,2674.66,1,1,1,111,At Risk
527,44,2,2476.84,3,1,1,311,Regular
528,135,7,7737.110000000001,1,3,3,133,At Risk
529,13,6,6036.22,4,2,3,423,Potential Loyalist
530,163,3,2816.79,1,1,1,111,At Risk
531,62,5,4164.33,2,2,2,222,Regular
532,29,6,7503.2699999999995,3,2,3,323,Potential Loyalist
533,3,6,8210.1,4,2,4,424,Potential Loyalist
534,7,8,8223.81,4,4,4,444,Champion
535,74,2,1679.29,2,1,1,211,Regular
536,33,4,4912.82,3,1,2,312,Regular
537,50,3,2906.29,2,1,1,211,Regular
538,5,7,8944.21,4,3,4,434,Loyal
539,37,8,7188.39,3,4,3,343,Loyal
540,80,6,4419.63,2,2,2,222,Regular
541,138,5,6244.03,1,2,3,123,At Risk
542,39,6,6399.45,3,2,3,323,Potential Loyalist
543,1,5,4605.8,4,2,2,422,Potential Loyalist
544,174,4,4228.66,1,1,2,112,At Risk
545,7,6,8697.36,4,2,4,424,Potential Loyalist
546,38,5,7164.9,3,2,3,323,Potential Loyalist
547,75,6,5913.53,2,2,2,222,Regular
548,11,7,7497.25,4,3,3,433,Loyal
549,41,8,7971.78,3,4,3,343,Loyal
550,15,5,4546.57,4,2,2,422,Potential Loyalist
551,153,4,3722.38,1,1,1,111,At Risk
552,160,4,2960.2700000000004,1,1,1,111,At Risk
553,20,6,6913.18,3,2,3,323,Potential Loyalist
554,39,3,2306.3799999999997,3,1,1,311,Regular
555,166,4,5261.73,1,1,2,112,At Risk
556,10,5,6960.33,4,2,3,423,Potential Loyalist
